-1.000,1.000,-1.600,0
-1.000,-1.000,-2.400,2
-1.000,-1.000,4.800,8
-1.000,1.000,-0.800,0
-1.000,-1.000,-3.200,2
-1.000,-1.000,4.000,8
-1.000,1.000,0.000,1
-1.000,-1.000,3.200,8
-1.000,1.000,0.800,1
-1.000,-1.000,-4.800,1
-1.000,-1.000,3.200,8
-1.000,1.000,0.000,1
-1.000,-1.000,-3.200,2
-1.000,-1.000,4.800,8
-1.000,1.000,-1.600,0
-1.000,-1.000,-1.600,4
-1.000,1.000,4.800,4
-1.000,1.000,-3.200,0
-1.000,-1.000,0.000,4
-1.000,1.000,3.200,2
-1.000,1.000,-4.800,0
-1.000,-1.000,1.600,8
-1.000,-1.000,-4.800,1
-1.000,-1.000,3.200,8
-1.000,1.000,0.000,1
-1.000,-1.000,-3.200,2
-1.000,-1.000,4.800,8
-1.000,1.000,-1.600,0
-1.000,-1.000,-1.600,4
-1.000,1.000,4.800,4
-1.000,1.000,-3.200,0
-1.000,-1.000,0.000,4
-1.000,1.000,3.200,2
-1.000,1.000,-4.800,0
-1.000,-1.000,1.600,8
-1.000,-1.000,-4.800,1
-1.000,-1.000,3.200,8
-1.000,1.000,0.000,1
-1.000,-1.000,-3.200,2
-1.000,1.000,4.800,4
-1.000,1.000,-3.200,0
-1.000,-1.000,0.000,4
-1.000,1.000,0.000,1
